,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
301,Mikkel Kaufmann,"€ 13,462","€ 700,000","Jun 30, 2024",Union Berlin,22,Reserve,F,Denmark
302,Masaya Okugawa,"€ 13,462","€ 700,000","Jun 30, 2026",Augsburg,27,Reserve,F,Japan
303,Matus Bero,"€ 13,462","€ 700,000","Jun 30, 2026",Bochum,27,Starter,M,Slovakia
304,Niels Nkounkou,"€ 13,462","€ 700,000","Jun 30, 2028",Eintracht Frankfurt,22,Reserve,D,France
305,Sven Michel,"€ 13,269","€ 690,000","Jun 30, 2025",Augsburg,33,Reserve,F,Germany
306,Philipp Lienhart,"€ 13,077","€ 680,000","Jun 30, 2024",Freiburg,27,Starter,D,Austria
307,Steffen Tigges,"€ 12,692","€ 660,000","Jun 30, 2026",Koln,25,Reserve,F,Germany
308,Nikolas Nartey,"€ 11,923","€ 620,000","Jun 30, 2025",Stuttgart,23,Reserve,M,Denmark
309,Cristian Gamboa,"€ 11,538","€ 600,000","Jun 30, 2025",Bochum,33,Reserve,D,Costa Rica
310,Christoph Klarer,"€ 11,538","€ 600,000","Jun 30, 2027",Darmstadt,23,Starter,D,Austria
311,Danilho Doekhi,"€ 11,538","€ 600,000","Jun 30, 2025",Union Berlin,25,Starter,D,Netherlands
312,Philipp Förster,"€ 11,538","€ 600,000","Jun 30, 2024",Bochum,28,Reserve,F,Germany
313,Patric Pfeiffer,"€ 11,538","€ 600,000","Jun 30, 2027",Augsburg,24,Starter,D,Ghana
314,Luca Pfeiffer,"€ 11,538","€ 600,000","Jun 30, 2024",Darmstadt,27,Starter,F,Germany
315,Benjamin Uphoff,"€ 11,538","€ 600,000","Jun 30, 2024",Freiburg,30,Reserve,K,Germany
316,Jens Stage,"€ 11,538","€ 600,000","Jun 30, 2026",Werder Bremen,26,Starter,M,Denmark
317,Felix Agu,"€ 11,538","€ 600,000","Jun 30, 2024",Werder Bremen,23,Reserve,D,Germany
318,Dimitrios Limnios,"€ 11,538","€ 600,000","Jun 30, 2024",Koln,25,Reserve,F,Greece
319,Robin Hack,"€ 11,538","€ 600,000","Jun 30, 2027",Monchengladbach,25,Reserve,F,Germany
320,Amos Pieper,"€ 11,538","€ 600,000","Jun 30, 2026",Werder Bremen,25,Starter,D,Germany
321,Sargis Adamyan,"€ 11,538","€ 600,000","Jun 30, 2026",Koln,30,Reserve,F,Armenia
322,Tobias Sippel,"€ 11,538","€ 600,000","Jun 30, 2024",Monchengladbach,35,Reserve,K,Germany
323,Raphael Framberger,"€ 10,962","€ 570,000","Jun 30, 2024",Augsburg,27,Reserve,D,Germany
324,Alexander Meyer,"€ 10,962","€ 570,000","Jun 30, 2025",Borussia Dortmund,32,Reserve,K,Germany
325,Irvin Cardona,"€ 10,769","€ 560,000","Jun 30, 2027",Augsburg,26,Reserve,F,France
326,Fredrik Jensen,"€ 10,769","€ 560,000","Jun 30, 2025",Augsburg,25,Reserve,F,Finland
327,Braydon Manu,"€ 10,769","€ 560,000","Jun 30, 2024",Darmstadt,26,Reserve,F,Ghana
328,Nathanaël Mbuku,"€ 10,769","€ 560,000","Jun 30, 2027",Augsburg,21,Reserve,F,France
329,Julian Justvan,"€ 10,577","€ 550,000","Jun 30, 2027",Hoffenheim,25,Reserve,F,Germany
330,Sepp van den Berg,"€ 10,385","€ 540,000","Jun 30, 2024",Mainz,21,Starter,D,Netherlands
331,Mamadou Doucouré,"€ 10,385","€ 540,000","Jun 30, 2024",Monchengladbach,25,Reserve,D,France
332,Anthony Losilla,"€ 10,385","€ 540,000","Jun 30, 2024",Bochum,37,Starter,M,France
333,Keven Schlotterbeck,"€ 10,385","€ 540,000","Jun 30, 2024",Bochum,26,Reserve,D,Germany
