,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
708,Bartol Franjic,,,,,,,,
709,Angelo Stiller,,,,,,,,
710,Franck Honorat,,,,,,,,
711,Lys Mousset,,,,,,,,
712,Erhan Masovic,,,,,,,,
713,Bernardo,,,,,,,,
714,Tim Kleindienst,,,,,,,,
715,Jan Thielmann,,,,,,,,
716,Milos Veljkovic,,,,,,,,
717,Pavao Pervan,,,,,,,,
718,Timothy Chandler,,,,,,,,
719,Christopher Lenz,,,,,,,,
720,Andreas Hanche-Olsen,,,,,,,,
721,Deniz Undav,,,,,,,,
722,András Schäfer,,,,,,,,
723,Joe Scally,,,,,,,,
724,Marvin Schwäbe,,,,,,,,
725,Frederik Rönnow,,,,,,,,
726,Stanley Nsoki,,,,,,,,
727,Nicolas Cozza,,,,,,,,
728,Jakub Kaminski,,,,,,,,
729,Anthony Jung,,,,,,,,
730,Michael Gregoritsch,,,,,,,,
731,Amine Adli,,,,,,,,
732,Ermedin Demirovic,,,,,,,,
733,Silas Wamangituka,,,,,,,,
734,Timo Hübers,,,,,,,,
735,Fabian Bredlow,,,,,,,,
736,Senne Lynen,,,,,,,,
737,Kevin Müller,,,,,,,,
738,Janik Haberer,,,,,,,,
739,Kristijan Jakic,,,,,,,,
740,Nathan N'Goumou,,,,,,,,
741,Christian Günter,,,,,,,,
742,Jamie Leweling,,,,,,,,
743,Felix Passlack,,,,,,,,
744,Iago,,,,,,,,
745,Dominique Heintz,,,,,,,,
746,Tomas Koubek,,,,,,,,
747,Cédric Zesiger,,,,,,,,
748,Arne Maier,,,,,,,,
749,Maximilian Beier,,,,,,,,
750,Maximilian Mittelstädt,,,,,,,,
751,Mateu Morey Bauzà,,,,,,,,
752,Kasim Adams,,,,,,,,
753,Danny da Costa,,,,,,,,
754,Maximilian Eggestein,,,,,,,,
755,Maxim Leitsch,,,,,,,,
756,Niklas Dorsch,,,,,,,,
757,Vincenzo Grifo,,,,,,,,
758,Josha Vagnoman,,,,,,,,
759,Timothy Fosu-Mensah,,,,,,,,
760,Nicolas Höfler,,,,,,,,
761,Benno Schmitz,,,,,,,,
762,Kevin Paredes,,,,,,,,
763,Alexander Schwolow,,,,,,,,
764,Christopher Trimmel,,,,,,,,
765,Phillipp Mwene,,,,,,,,
766,Kilian Fischer,,,,,,,,
767,Rubén Vargas,,,,,,,,
768,Leart Paqarada,,,,,,,,
769,Rani Khedira,,,,,,,,
770,Finn Dahmen,,,,,,,,
771,Ritsu Doan,,,,,,,,
772,Aïssa Laïdouni,,,,,,,,
773,Grischa Prömel,,,,,,,,
774,Aymen Barkok,,,,,,,,
775,Manuel Riemann,,,,,,,,
776,Dejan Ljubicic,,,,,,,,
777,Woo-yeong Jeong,,,,,,,,
778,Farès Chaïbi,,,,,,,,
779,Klaus Gjasula,,,,,,,,
780,Reece Oxford,,,,,,,,
781,Tomas Cvancara,,,,,,,,
782,Maximilian Wittek,,,,,,,,
783,Mads Pedersen,,,,,,,,
784,Marco Richter,,,,,,,,
785,Willian Pacho,,,,,,,,
786,Tobias Kempe,,,,,,,,
787,Christian Groß,,,,,,,,
788,Marvin Pieringer,,,,,,,,
789,Christoph Zimmermann,,,,,,,,
790,Philipp Hofmann,,,,,,,,
791,Dion Beljo,,,,,,,,
792,Gil Dias,,,,,,,,
793,Olivier Deman,,,,,,,,
794,Matej Kovar,,,,,,,,
795,Marcel Schuhen,,,,,,,,
796,Hugo Larsson,,,,,,,,
797,Waldemar Anton,,,,,,,,
798,Phillip Tietz,,,,,,,,
799,Marnon Busch,,,,,,,,
800,Éric Ebimbe,,,,,,,,
801,Roland Sallai,,,,,,,,
802,Denis Thomalla,,,,,,,,
803,Kevin Behrens,,,,,,,,
804,Julian Chabot,,,,,,,,
805,Rocco Reitz,,,,,,,,
806,Gonçalo Paciência,,,,,,,,
807,Arthur,,,,,,,,
808,Marco Friedl,,,,,,,,
809,Kevin Stöger,,,,,,,,
810,Fabian Holland,,,,,,,,
811,Pascal Stenzel,,,,,,,,
812,Matthias Bader,,,,,,,,
813,Jessic Ngankam,,,,,,,,
814,Junior Adamu,,,,,,,,
815,Mikkel Kaufmann,,,,,,,,
816,Masaya Okugawa,,,,,,,,
817,Matus Bero,,,,,,,,
818,Niels Nkounkou,,,,,,,,
819,Sven Michel,,,,,,,,
820,Philipp Lienhart,,,,,,,,
821,Steffen Tigges,,,,,,,,
822,Nikolas Nartey,,,,,,,,
823,Cristian Gamboa,,,,,,,,
824,Christoph Klarer,,,,,,,,
825,Danilho Doekhi,,,,,,,,
826,Philipp Förster,,,,,,,,
827,Patric Pfeiffer,,,,,,,,
828,Luca Pfeiffer,,,,,,,,
829,Benjamin Uphoff,,,,,,,,
830,Jens Stage,,,,,,,,
831,Felix Agu,,,,,,,,
832,Dimitrios Limnios,,,,,,,,
833,Robin Hack,,,,,,,,
834,Amos Pieper,,,,,,,,
835,Sargis Adamyan,,,,,,,,
836,Tobias Sippel,,,,,,,,
837,Raphael Framberger,,,,,,,,
838,Alexander Meyer,,,,,,,,
839,Irvin Cardona,,,,,,,,
840,Fredrik Jensen,,,,,,,,
841,Braydon Manu,,,,,,,,
842,Nathanaël Mbuku,,,,,,,,
843,Julian Justvan,,,,,,,,
844,Sepp van den Berg,,,,,,,,
845,Mamadou Doucouré,,,,,,,,
846,Anthony Losilla,,,,,,,,
847,Keven Schlotterbeck,,,,,,,,
848,Ansgar Knauff,,,,,,,,
849,Lucas Höler,,,,,,,,
850,Jonas Föhrenbach,,,,,,,,
851,Patrick Osterhage,,,,,,,,
852,Matej Maglica,,,,,,,,
853,Tim Breithaupt,,,,,,,,
854,Benedict Hollerbach,,,,,,,,
855,Benedikt Gimber,,,,,,,,
856,Lukas Daschner,,,,,,,,
857,Florian Müller,,,,,,,,
858,Fabian Nürnberger,,,,,,,,
859,Grant-Leon Ranos,,,,,,,,
860,Leopold Zingerle,,,,,,,,
861,Patrick Mainka,,,,,,,,
862,Faride Alidou,,,,,,,,
863,Aurélio Buta,,,,,,,,
864,Dzenan Pejcinovic,,,,,,,,
865,Jan Schöppner,,,,,,,,
866,Manuel Gulde,,,,,,,,
867,Oscar Vilhelmsson,,,,,,,,
868,Atakan Karazor,,,,,,,,
869,Fraser Hornby,,,,,,,,
870,Takuma Asano,,,,,,,,
871,Jacob Christensen,,,,,,,,
872,Filip Stojilkovic,,,,,,,,
873,Moritz-Broni Kwarteng,,,,,,,,
874,Danilo Soares,,,,,,,,
875,Tim Skarke,,,,,,,,
876,Paul Jaeckel,,,,,,,,
877,Jakob Busk,,,,,,,,
878,Norman Theuerkauf,,,,,,,,
879,Nikola Dovedan,,,,,,,,
880,Jovan Milosevic,,,,,,,,
881,Lukas Ullrich,,,,,,,,
882,Jordi Osei-Tutu,,,,,,,,
883,Lukas Kübler,,,,,,,,
884,Fabian Schnellhardt,,,,,,,,
885,Chris Führich,,,,,,,,
886,Noah Loosli,,,,,,,,
887,Luca Kilian,,,,,,,,
888,Florian Dietz,,,,,,,,
889,Romano Schmid,,,,,,,,
890,Jan Olschowsky,,,,,,,,
891,Finn Ole Becker,,,,,,,,
892,Laurin Ulrich,,,,,,,,
893,Daniel-Kofi Kyereh,,,,,,,,
894,Nelson Weiper,,,,,,,,
895,Yvandro Borges Sanches,,,,,,,,
896,Linton Maina,,,,,,,,
897,Kauã Santos,,,,,,,,
898,Jens Grahl,,,,,,,,
899,Nacho Ferri,,,,,,,,
900,Simon Walde,,,,,,,,
901,Diogo Leite,,,,,,,,
902,Thomas Kastanaras,,,,,,,,
903,Michael Esser,,,,,,,,
904,Mathias Honsak,,,,,,,,
905,Kiliann Sildillia,,,,,,,,
906,Andreas Müller,,,,,,,,
907,Marcel Wenig,,,,,,,,
908,Omar-Haktab Traoré,,,,,,,,
909,Enzo Millot,,,,,,,,
910,Stefan Schimmer,,,,,,,,
911,Maximilian Bauer,,,,,,,,
912,Rasmus Carstensen,,,,,,,,
913,Niklas Klinger,,,,,,,,
914,Clemens Riedel,,,,,,,,
915,Christopher Antwi-Adjei,,,,,,,,
916,Marvin Mehlem,,,,,,,,
917,Jan-Niklas Beste,,,,,,,,
918,Fabio Chiarodia,,,,,,,,
919,Christian Kühlwetter,,,,,,,,
920,Noah Mbamba,,,,,,,,
921,David Colina,,,,,,,,
922,Niklas Lomb,,,,,,,,
923,Florian Pick,,,,,,,,
924,Eric Martel,,,,,,,,
925,Vitus Eicher,,,,,,,,
926,Eren Dinkci,,,,,,,,
927,Tim Oermann,,,,,,,,
928,Ole Pohlmann,,,,,,,,
929,Justin Njinmah,,,,,,,,
930,Robert Gumny,,,,,,,,
931,Mathias Olesen,,,,,,,,
932,Paxten Aaronson,,,,,,,,
933,Lasse Rieß,,,,,,,,
934,Denis Huseinbasic,,,,,,,,
935,Marcel Lotka,,,,,,,,
936,Julien Duranville,,,,,,,,
937,Alexander Brunst,,,,,,,,
938,Gustavo Puerta,,,,,,,,
939,Daniel Batz,,,,,,,,
940,Jonas Nickisch,,,,,,,,
941,Leonidas Stergiou,,,,,,,,
942,Roberto Massimo,,,,,,,,
943,Nick Woltemade,,,,,,,,
944,Philipp Pentke,,,,,,,,
945,Abdoulaye Kamara,,,,,,,,
946,Luca Philipp,,,,,,,,
947,Adrian Beck,,,,,,,,
948,Niclas Thiede,,,,,,,,
949,Antonios Papadopoulos,,,,,,,,
950,Michael Zetterer,,,,,,,,
951,Emir Karic,,,,,,,,
952,Ayman Aourir,,,,,,,,
953,Davis Bautista,,,,,,,,
954,Jordy Makengo,,,,,,,,
955,Eduardo Dos Santos Haesler,,,,,,,,
956,Nnamdi Collins,,,,,,,,
957,Paul Tschernuth,,,,,,,,
958,Philipp Schulz,,,,,,,,
959,Philipp Schulze,,,,,,,,
960,Hrvoje Smolcic,,,,,,,,
961,Sidney Raebiger,,,,,,,,
962,Simon Simoni,,,,,,,,
963,Eniss Shabani,,,,,,,,
964,Elidon Qenaj,,,,,,,,
965,Elias Bakatukanda,,,,,,,,
966,Tarek Buchmann,,,,,,,,
967,Thomas Keller,,,,,,,,
968,Tom Hülsmann,,,,,,,,
969,Ulysses Llanez,,,,,,,,
970,Umut Tohumcu,,,,,,,,
971,Aljoscha Kemlein,,,,,,,,
972,Maximilian Brüll,,,,,,,,
973,Morten Behrens,,,,,,,,
974,Leon Opitz,,,,,,,,
975,Damion Downs,,,,,,,,
976,Jannik Müller,,,,,,,,
977,Noel Futkeu,,,,,,,,
978,Dario Gebuhr,,,,,,,,
979,Max Rosenfelder,,,,,,,,
980,Nahuel Noll,,,,,,,,
981,Moritz Broschinski,,,,,,,,
982,Thomas Isherwood,,,,,,,,
983,Lilian Egloff,,,,,,,,
984,Yannic Stein,,,,,,,,
985,Moritz Römling,,,,,,,,
986,Luka Janes,,,,,,,,
987,Dennis Seimen,,,,,,,,
988,Madi Monamay,,,,,,,,
989,Marcel Lubik,,,,,,,,
990,Marco John,,,,,,,,
991,Timo Schlieck,,,,,,,,
992,Noah Weißhaupt,,,,,,,,
993,Noah Katterbach,,,,,,,,
994,Tim Siersleben,,,,,,,,
995,Noah Atubolu,,,,,,,,
996,Mats Pannewig,,,,,,,,
997,Matthias Köbbing,,,,,,,,
998,Max Finkgräfe,,,,,,,,
999,Tom Bischof,,,,,,,,
1000,Yannik Keitel,,,,,,,,
1001,Brajan Gruda,,,,,,,,
1002,Aaron Zehnter,,,,,,,,
1003,Bambasé Conté,,,,,,,,
1004,Mehdi Loune,,,,,,,,
1005,Merlin Röhl,,,,,,,,
1006,Mert Kömür,,,,,,,,
1007,Arne Engels,,,,,,,,
1008,Merveille Papela,,,,,,,,
1009,Florian Schock,,,,,,,,
1010,Frank Feller,,,,,,,,
1011,Seedy Jarju,,,,,,,,
1012,Frank Ronstadt,,,,,,,,
1013,Felix Lange,,,,,,,,
1014,Aaron Seydel,,,,,,,,
1015,Fabio Torsiello,,,,,,,,
1016,Frederik Winther,,,,,,,,
1017,Anthony Rouault,,,,,,,,
1018,Silas Ostrzinski,,,,,,,,
1019,Harpreet Ghotra,,,,,,,,
1020,Mohammed Tolba,,,,,,,,
1021,Joshua Quarshie,,,,,,,,
1022,Kenneth Schmidt,,,,,,,,
1023,Kevin Sessa,,,,,,,,
1024,Moritz Nicolas,,,,,,,,
1025,Laurenz Dehl,,,,,,,,
1026,Lennard Maloney,,,,,,,,
1027,Alexander Nübel,,,,,,,,
